Serial # in Treebank,Citation,Greek text,English,Lemmas,,,,,,,,,,,,,,,,,,,,,,Serial # in Treebank,Citation,Greek text,English,Lemmas
2282367,24.507,"[24.507] ὣς φάτο, τῷ δ᾽ ἄρα πατρὸς ὑφ᾽ ἵμερον ὦρσε γόοιο:","So spake he, and in Achilles he roused desire to weep for his father;",ὡς φημί ὁ δέ ἄρα πατήρ ὑπό ἵμερος ὄρνυμι γόος,,,,,,,,,,,,,,,,,,,,,,,,,,
2282368,24.508,[24.508] ἁψάμενος δ᾽ ἄρα χειρὸς ἀπώσατο ἦκα γέροντα.,"and he took the old man by the hand, and gently put him from him.",ἅπτω δέ ἄρα χείρ ἀπωθέω ἦκα γέρων,,,,,,,,,,,,,,,,,,,,,,,,,,
2282369,24.509-24.512,"[24.509] τὼ δὲ μνησαμένω ὃ μὲν Ἕκτορος ἀνδροφόνοιο [24.510] κλαῖ᾽ ἁδινὰ προπάροιθε ποδῶν Ἀχιλῆος ἐλυσθείς, [24.511] αὐτὰρ Ἀχιλλεὺς κλαῖεν ἑὸν πατέρ᾽, ἄλλοτε δ᾽ αὖτε [24.512] Πάτροκλον: [0]","So the twain bethought them of their dead, and wept; the one for man-slaying Hector wept sore, the while he grovelled at Achilles' feet, but Achilles wept for his own father, and now again for Patroclus;",ὁ δέ μιμνήσκω ὁ μέν Ἕκτωρ ἀνδροφόνος κλαίω ἁδινός προπάροιθε πούς Ἀχιλλεύς ἐλύω ἀτάρ Ἀχιλλεύς κλαίω ἑός πατήρ ἄλλοτε δέ αὖτε Πάτροκλος,,,,,,,,,,,,,,,,,,,,,,,,,,
2282370,24.512,[24.512] τῶν δὲ στοναχὴ κατὰ δώματ᾽ ὀρώρει.,and the sound of their moaning went up through the house.,ὁ δέ στοναχή κατά δῶμα ὄρνυμι,,,,,,,,,,,,,,,,,,,,,,,,,,
2282371,24.513-24.517,"[24.513] αὐτὰρ ἐπεί ῥα γόοιο τετάρπετο δῖος Ἀχιλλεύς, [24.514] καί οἱ ἀπὸ πραπίδων ἦλθ᾽ ἵμερος ἠδ᾽ ἀπὸ γυίων, [24.515] αὐτίκ᾽ ἀπὸ θρόνου ὦρτο, γέροντα δὲ χειρὸς ἀνίστη [24.516] οἰκτίρων πολιόν τε κάρη πολιόν τε γένειον, [24.517] καί μιν φωνήσας ἔπεα πτερόεντα προσηύδα:","But when goodly Achilles had had his fill of lamenting, and the longing therefor had departed from his heart and limbs, forthwith then he sprang from his seat, and raised the old man by his hand, pitying his hoary head and hoary beard;",ἀτάρ ἐπεί ἄρα γόος τέρπω δῖος Ἀχιλλεύς καί ἕ ἀπό πραπίδες ἔρχομαι ἵμερος ἠδέ ἀπό γυῖον αὐτίκα ἀπό θρόνος ὄρνυμι γέρων δέ χείρ ἀνίστημι οἰκτείρω πολιός τε κάρα πολιός τε γένειον καί μιν φωνέω ἔπος πτερόεις προσαυδάω,,,,,,,,,,,,,,,,,,,,,,,,,,
2282372,24.518,"[24.518] ἆ δείλ᾽, ἦ δὴ πολλὰ κάκ᾽ ἄνσχεο σὸν κατὰ θυμόν.",and he spake and addressed him with winged words:,ἆ δειλός ἦ δή πολύς κακός ἀνέχω σός κατά θυμός,,,,,,,,,,,,,,,,,,,,,,,,,,
2282373,24.519-24.521,[24.519] πῶς ἔτλης ἐπὶ νῆας Ἀχαιῶν ἐλθέμεν οἶος [24.520] ἀνδρὸς ἐς ὀφθαλμοὺς ὅς τοι πολέας τε καὶ ἐσθλοὺς [24.521] υἱέας ἐξενάριξα; [0],"Ah, unhappy man, full many in good sooth are the evils thou hast endured in thy soul. How hadst thou the heart to come alone to the ships of the Achaeans, to meet the eyes of me that have slain thy sons many and valiant?",πῶς2 τλάω ἐπί ναῦς Ἀχαιός ἔρχομαι οἶος ἀνήρ εἰς ὀφθαλμός ὅς σύ πολύς τε καί ἐσθλός υἱός ἐξεναρίζω,,,,,,,,,,,,,,,,,,,,,,,,,,
2282374,24.521,[24.521] σιδήρειόν νύ τοι ἦτορ. [0],Of iron verily is thy heart.,σιδήρεος νῦν σύ ἦτορ,,,,,,,,,,,,,,,,,,,,,,,,,,
2282375,24.522-24.523,"[24.522] ἀλλ᾽ ἄγε δὴ κατ᾽ ἄρ᾽ ἕζευ ἐπὶ θρόνου, ἄλγεα δ᾽ ἔμπης [24.523] ἐν θυμῷ κατακεῖσθαι ἐάσομεν ἀχνύμενοί περ:","But come, sit thou upon a seat, and our sorrows will we suffer to lie quiet in our hearts, despite our pain;",ἀλλά ἄγε δή κατά ἄρον ἕζομαι ἐπί θρόνος ἄλγος δέ ἔμπας ἐν θυμός κατακείω ἐάω ἀχεύω πέρ,,,,,,,,,,,,,,,,,,,,,,,,,,
2282376,24.524,[24.524] οὐ γάρ τις πρῆξις πέλεται κρυεροῖο γόοιο:,for no profit cometh of chill lament.,οὐ γάρ τις πρᾶξις πέλω κρυερός γόος,,,,,,,,,,,,,,,,,,,,,,,,,,
2282377,24.525-24.526,[24.525] ὡς γὰρ ἐπεκλώσαντο θεοὶ δειλοῖσι βροτοῖσι [24.526] ζώειν ἀχνυμένοις:,"For on this wise have the gods spun the thread for wretched mortals, that they should live in pain;",ὡς γάρ ἐπικλώθω θεός δειλός βροτός ζῶ ἀχεύω,,,,,,,,,,,,,,,,,,,,,,,,,,
2282378,24.526,[24.526] αὐτοὶ δέ τ᾽ ἀκηδέες εἰσί.,and themselves are sorrowless.,αὐτός δέ τε ἀκηδής εἰμί,,,,,,,,,,,,,,,,,,,,,,,,,,
2282379,24.527-24.528,"[24.527] δοιοὶ γάρ τε πίθοι κατακείαται ἐν Διὸς οὔδει [24.528] δώρων οἷα δίδωσι κακῶν, ἕτερος δὲ ἑάων: [0] [1]","For two urns are set upon the floor of Zeus of gifts that he giveth, the one of ills, the other of blessings.",δοιοί γάρ τε πίθος κατακείω ἐν Ζεύς οὖδας δῶρον οἷος δίδωμι κακός ἕτερος δέ ἐύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2282380,24.529-24.530,"[24.529] ᾧ μέν κ᾽ ἀμμίξας δώῃ Ζεὺς τερπικέραυνος, [24.530] ἄλλοτε μέν τε κακῷ ὅ γε κύρεται, ἄλλοτε δ᾽ ἐσθλῷ: [0]","To whomsoever Zeus, that hurleth the thunderbolt, giveth a mingled lot, that man meeteth now with evil, now with good;",ὅς μέν ἄν ἀναμίγνυμι δίδωμι Ζεύς τερπικέραυνος ἄλλοτε μέν τε κακός ὁ γε κυρέω ἄλλοτε δέ ἐσθλός,,,,,,,,,,,,,,,,,,,,,,,,,,
2282381,24.531-24.533,"[24.531] ᾧ δέ κε τῶν λυγρῶν δώῃ, λωβητὸν ἔθηκε, [24.532] καί ἑ κακὴ βούβρωστις ἐπὶ χθόνα δῖαν ἐλαύνει, [24.533] φοιτᾷ δ᾽ οὔ τε θεοῖσι τετιμένος οὔ τε βροτοῖσιν. [0]","but to whomsoever he giveth but of the baneful, him he maketh to be reviled of man, and direful madness driveth him over the face of the sacred earth, and he wandereth honoured neither of gods nor mortals.",ὅς δέ ἄν ὁ λυγρός δίδωμι λωβητός τίθημι καί ἕ κακός βούβρωστις ἐπί χθών δῖος ἐλαύνω φοιτάω δέ οὐ τε θεός τίω οὐ τε βροτός,,,,,,,,,,,,,,,,,,,,,,,,,,
2282382,24.534-24.535,[24.534] ὣς μὲν καὶ Πηλῆϊ θεοὶ δόσαν ἀγλαὰ δῶρα [24.535] ἐκ γενετῆς:,Even so unto Peleus did the gods give glorious gifts from his birth;,ὡς μέν καί Πηλεύς θεός δίδωμι ἀγλαός δῶρον ἐκ γενετή,,,,,,,,,,,,,,,,,,,,,,,,,,
2282383,24.535-24.537,"[24.535] πάντας γὰρ ἐπ᾽ ἀνθρώπους ἐκέκαστο [24.536] ὄλβῳ τε πλούτῳ τε, ἄνασσε δὲ Μυρμιδόνεσσι, [24.537] καί οἱ θνητῷ ἐόντι θεὰν ποίησαν ἄκοιτιν.","for he excelled all men in good estate and in wealth, and was king over the Myrmidons,",πᾶς γάρ ἐπί ἄνθρωπος καίνυμαι ὄλβος τε πλοῦτος τε ἀνάσσω δέ Μυρμιδόνες καί ἕ θνητός εἰμί θεά ποιέω ἄκοιτις,,,,,,,,,,,,,,,,,,,,,,,,,,
2282384,24.538-24.540,"[24.538] ἀλλ᾽ ἐπὶ καὶ τῷ θῆκε θεὸς κακόν, ὅττί οἱ οὔ τι [24.539] παίδων ἐν μεγάροισι γονὴ γένετο κρειόντων, [24.540] ἀλλ᾽ ἕνα παῖδα τέκεν παναώριον:","and to him that was but a mortal the gods gave a goddess to be his wife. Howbeit even upon him the gods brought evil, in that there nowise sprang up in his halls offspring of princely sons, but he begat one only son, doomed to an untimely fate.",ἀλλά ἐπί καί ὁ τίθημι θεός κακός ὅτι2 ἕ οὐ τις παῖς ἐν μέγαρον γονή γίγνομαι κρείων ἀλλά εἵς παῖς τίκτω παναώριος,,,,,,,,,,,,,,,,,,,,,,,,,,
2282385,24.540-24.542,"[24.540] οὐ δέ νυ τόν γε [24.541] γηράσκοντα κομίζω, ἐπεὶ μάλα τηλόθι πάτρης [24.542] ἧμαι ἐνὶ Τροίῃ, σέ τε κήδων ἠδὲ σὰ τέκνα.","Neither may I tend him as he groweth old, seeing that far, far from mine own country I abide in the land of Troy, vexing thee and thy children.",οὐ δέ νῦν ὁ γε γηράσκω κομίζω ἐπεί μάλα τηλόθι πάτρα ἧμαι ἐν Τροία σύ τε κήδω ἠδέ σός τέκνον,,,,,,,,,,,,,,,,,,,,,,,,,,
2282386,24.543,[24.543] καὶ σὲ γέρον τὸ πρὶν μὲν ἀκούομεν ὄλβιον εἶναι:,"And of thee, old sire, we hear that of old thou wast blest;",καί σύ γέρων ὁ πρίν μέν ἀκούω ὄλβιος εἰμί,,,,,,,,,,,,,,,,,,,,,,,,,,
2282387,24.544-24.546,"[24.544] ὅσσον Λέσβος ἄνω Μάκαρος ἕδος ἐντὸς ἐέργει [24.545] καὶ Φρυγίη καθύπερθε καὶ Ἑλλήσποντος ἀπείρων, [24.546] τῶν σε γέρον πλούτῳ τε καὶ υἱάσι φασὶ κεκάσθαι. [0] [1] [2]","how of all that toward the sea Lesbos, the seat of Macar, encloseth, and Phrygia in the upland, and the boundless Hellespont, over all these folk, men say, thou, old sire, wast preeminent by reason of thy wealth and thy sons.",ὅσος Λέσβος ἄνω2 Μάκαρ ἕδος ἐντός ἔργω καί Φρυγίη καθύπερθε καί Ἑλλήσποντος ἀπείρων2 ὁ σύ γέρων πλοῦτος τε καί υἱός φημί καίνυμαι,,,,,,,,,,,,,,,,,,,,,,,,,,
2282388,24.547-24.548,[24.547] αὐτὰρ ἐπεί τοι πῆμα τόδ᾽ ἤγαγον Οὐρανίωνες [24.548] αἰεί τοι περὶ ἄστυ μάχαι τ᾽ ἀνδροκτασίαι τε. [0],"Howbeit from the time when the heavenly gods brought upon thee this bane, ever around thy city are battles and slayings of men.",ἀτάρ ἐπεί σύ πῆμα ὅδε ἄγω Οὐρανίωνες ἀεί σύ περί ἄστυ μάχη τε ἀνδροκτασία τε,,,,,,,,,,,,,,,,,,,,,,,,,,
2282389,24.549,"[24.549] ἄνσχεο, μὴ δ᾽ ἀλίαστον ὀδύρεο σὸν κατὰ θυμόν:","Bear thou up, neither wail ever ceaselessly in thy heart;",ἀνέχω μή δέ ἀλίαστος ὀδύρομαι σός κατά θυμός,,,,,,,,,,,,,,,,,,,,,,,,,,
2282390,24.550-24.551,"[24.550] οὐ γάρ τι πρήξεις ἀκαχήμενος υἷος ἑῆος, [24.551] οὐ δέ μιν ἀνστήσεις, πρὶν καὶ κακὸν ἄλλο πάθῃσθα.","for naught wilt thou avail by grieving for thy son, neither wilt thou bring him back to life; ere that shalt thou suffer some other ill.",οὐ γάρ τις πράσσω ἀχεύω υἱός ἐύς οὐ δέ μιν ἀνίστημι πρίν καί κακός ἄλλος πάσχω,,,,,,,,,,,,,,,,,,,,,,,,,,
2282391,24.552,[24.552] τὸν δ᾽ ἠμείβετ᾽ ἔπειτα γέρων Πρίαμος θεοειδής:,"And the old man, godlike Priam, answered him:",ὁ δέ ἀμείβω ἔπειτα γέρων Πρίαμος θεοειδής,,,,,,,,,,,,,,,,,,,,,,,,,,
2282392,24.553-24.555,"[24.553] μή πω μ᾽ ἐς θρόνον ἵζε διοτρεφὲς ὄφρά κεν Ἕκτωρ [24.554] κεῖται ἐνὶ κλισίῃσιν ἀκηδής, ἀλλὰ τάχιστα [24.555] λῦσον ἵν᾽ ὀφθαλμοῖσιν ἴδω:","Seat me not anywise upon a chair, O thou fostered of Zeus, so long as Hector lieth uncared-for amid the huts; nay, give him back with speed, that mine eyes may behold him;",μή πω ἐγώ εἰς θρόνος ἵζω διοτρεφής ὄφρα ἄν Ἕκτωρ κεῖμαι ἐν κλισία ἀκηδής ἀλλά ταχύς λύω ἵνα ὀφθαλμός εἶδον,,,,,,,,,,,,,,,,,,,,,,,,,,
2282393,24.555-24.556,"[24.555] σὺ δὲ δέξαι ἄποινα [24.556] πολλά, τά τοι φέρομεν:","and do thou accept the ransom, the great ransom, that we bring.",σύ δέ δέχομαι ἄποινα πολύς ὁ σύ φέρω,,,,,,,,,,,,,,,,,,,,,,,,,,
2282394,24.556-24.558,"[24.556] σὺ δὲ τῶνδ᾽ ἀπόναιο, καὶ ἔλθοις [24.557] σὴν ἐς πατρίδα γαῖαν, ἐπεί με πρῶτον ἔασας [24.558] αὐτόν τε ζώειν καὶ ὁρᾶν φάος ἠελίοιο.","So mayest thou have joy thereof, and come to thy native land, seeing that from the first thou hast spared me.",σύ δέ ὅδε ἀπονίναμαι καί ἔρχομαι σός εἰς πατρίς γαῖα ἐπεί ἐγώ πρότερος ἐάω αὐτός τε ζῶ καί ὁράω φάος ἠέλιος,,,,,,,,,,,,,,,,,,,,,,,,,,
2282395,24.559,[24.559] τὸν δ᾽ ἄρ᾽ ὑπόδρα ἰδὼν προσέφη πόδας ὠκὺς Ἀχιλλεύς:,Then with an angry glance from beneath his brows spake to him Achilles swift of foot:,ὁ δέ ἄρα ὑπόδρα εἶδον πρόσφημι πούς ὠκύς Ἀχιλλεύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2282396,24.56,[24.560] μηκέτι νῦν μ᾽ ἐρέθιζε γέρον:,"Provoke me no more, old sir;",μηκέτι νῦν ἐγώ ἐρεθίζω γέρων,,,,,,,,,,,,,,,,,,,,,,,,,,
2282397,24.560-24.562,"[24.560] νοέω δὲ καὶ αὐτὸς [24.561] Ἕκτορά τοι λῦσαι, Διόθεν δέ μοι ἄγγελος ἦλθε [24.562] μήτηρ, ἥ μ᾽ ἔτεκεν, θυγάτηρ ἁλίοιο γέροντος.","I am minded even of myself to give Hector back to thee; for from Zeus there came to me a messenger, even the mother that bare me, daughter of the old man of the sea.",νοέω δέ καί αὐτός Ἕκτωρ σύ λύω Διόθεν δέ ἐγώ ἄγγελος ἔρχομαι μήτηρ ὅς ἐγώ τίκτω θυγάτηρ ἅλιος γέρων,,,,,,,,,,,,,,,,,,,,,,,,,,
2282398,24.563-24.564,"[24.563] καὶ δέ σε γιγνώσκω Πρίαμε φρεσίν, οὐ δέ με λήθεις, [24.564] ὅττι θεῶν τίς σ᾽ ἦγε θοὰς ἐπὶ νῆας Ἀχαιῶν.","And of thee, Priam, do I know in my heart—it nowise escapeth me—that some god led thee to the swift ships of the Achaeans.",καί δέ σύ γιγνώσκω Πρίαμος φρήν οὐ δέ ἐγώ λανθάνω ὅτι2 θεός τις σύ ἄγω θοός ἐπί ναῦς Ἀχαιός,,,,,,,,,,,,,,,,,,,,,,,,,,
2282399,24.565-24.566,"[24.565] οὐ γάρ κε τλαίη βροτὸς ἐλθέμεν, οὐ δὲ μάλ᾽ ἡβῶν, [24.566] ἐς στρατόν:","For no mortal man, were he never so young and strong, would dare to come amid the host;",οὐ γάρ ἄν τλάω βροτός ἔρχομαι οὐδέ οὐδέ μάλα ἡβάω εἰς στρατός,,,,,,,,,,,,,,,,,,,,,,,,,,
2282400,24.566-24.567,"[24.566] οὐ δὲ γὰρ ἂν φυλάκους λάθοι, οὐ δέ κ᾽ ὀχῆα [24.567] ῥεῖα μετοχλίσσειε θυράων ἡμετεράων.","neither could he then escape the watch, nor easily thrust back the bar of our doors.",οὐ δέ γάρ ἄν φυλακός λανθάνω οὐ δέ ἄν ὀχεύς ῥεῖα μετοχλίζω θύρα ἡμέτερος,,,,,,,,,,,,,,,,,,,,,,,,,,
2282401,24.568-24.570,"[24.568] τὼ νῦν μή μοι μᾶλλον ἐν ἄλγεσι θυμὸν ὀρίνῃς, [24.569] μή σε γέρον οὐ δ᾽ αὐτὸν ἐνὶ κλισίῃσιν ἐάσω [24.570] καὶ ἱκέτην περ ἐόντα, Διὸς δ᾽ ἀλίτωμαι ἐφετμάς.","Wherefore now stir my heart no more amid my sorrows, lest, old sire, I spare not even thee within the huts, my suppliant though thou art, and so sin against the behest of Zeus.",τῷ νῦν μή ἐγώ μάλα ἐν ἄλγος θυμός ὀρίνω μή σύ γέρων οὐδέ οὐδέ αὐτός ἐν κλισία ἐάω καί ἱκέτης πέρ εἰμί Ζεύς δέ ἀλιταίνω ἐφετμή,,,,,,,,,,,,,,,,,,,,,,,,,,
2282402,24.571,"[24.571] ὣς ἔφατ᾽, ἔδεισεν δ᾽ ὃ γέρων καὶ ἐπείθετο μύθῳ.","So spake he, and the old man was seized with fear, and hearkened to his word.",ὡς φημί δείδω δέ ὁ γέρων καί πείθω μῦθος,,,,,,,,,,,,,,,,,,,,,,,,,,
2282403,24.572-24.578,"[24.572] Πηλεΐδης δ᾽ οἴκοιο λέων ὣς ἆλτο θύραζε [24.573] οὐκ οἶος, ἅμα τῷ γε δύω θεράποντες ἕποντο [24.574] ἥρως Αὐτομέδων ἠδ᾽ Ἄλκιμος, οὕς ῥα μάλιστα [24.575] τῖ᾽ Ἀχιλεὺς ἑτάρων μετὰ Πάτροκλόν γε θανόντα, [24.576] οἳ τόθ᾽ ὑπὸ ζυγόφιν λύον ἵππους ἡμιόνους τε, [24.577] ἐς δ᾽ ἄγαγον κήρυκα καλήτορα τοῖο γέροντος, [24.578] κὰδ δ᾽ ἐπὶ δίφρου εἷσαν: [0] [1] [2]","But like a lion the son of Peleus sprang forth from the houses—not alone, for with him went two squires as well, even the warrior Automedon and Alcimus, they that Achilles honoured above all his comrades, after the dead Patroclus. These then loosed from beneath the yoke the horses and mules, and led within the herald, the crier of the old king, and set him on a chair;",Πηλείδης δέ οἶκος λέων ὡς ἅλλομαι θύραζε οὐ οἶος ἅμα ὁ γε δύο θεράπων ἕπομαι ἥρως Αὐτομέδων ἠδέ Ἄλκιμος ὅς ἄρα μάλα τίω Ἀχιλλεύς ἑταῖρος μετά Πάτροκλος γε θνήσκω ὅς τότε ὑπό ζυγόν λύω ἵππος ἡμίονος τε εἰς δέ ἄγω κῆρυξ καλήτωρ ὁ γέρων κατά δέ ἐπί δίφρος ἵζω,,,,,,,,,,,,,,,,,,,,,,,,,,
2282404,24.578-24.579,[24.578] ἐϋξέστου δ᾽ ἀπ᾽ ἀπήνης [24.579] ᾕρεον Ἑκτορέης κεφαλῆς ἀπερείσι᾽ ἄποινα.,and from the wain of goodly felloes they took the countless ransom for Hector's head.,εὔξεστος δέ ἀπό ἀπήνη αἱρέω Ἑκτόρεος κεφαλή ἀπερείσιος ἄποινα,,,,,,,,,,,,,,,,,,,,,,,,,,
2282405,24.580-24.581,"[24.580] κὰδ δ᾽ ἔλιπον δύο φάρε᾽ ἐΰννητόν τε χιτῶνα, [24.581] ὄφρα νέκυν πυκάσας δοίη οἶκον δὲ φέρεσθαι.","But they left there two robes and a fair-woven tunic, to the end that Achilles might enwrap the dead therein and so give him to be borne to his home.",κατά δέ λείπω δύο φᾶρος ἐύννητος τε χιτών ὄφρα νέκυς πυκάζω δίδωμι οἶκος δέ φέρω,,,,,,,,,,,,,,,,,,,,,,,,,,
2282406,24.582-24.586,"[24.582] δμῳὰς δ᾽ ἐκκαλέσας λοῦσαι κέλετ᾽ ἀμφί τ᾽ ἀλεῖψαι [24.583] νόσφιν ἀειράσας, ὡς μὴ Πρίαμος ἴδοι υἱόν, [24.584] μὴ ὃ μὲν ἀχνυμένῃ κραδίῃ χόλον οὐκ ἐρύσαιτο [24.585] παῖδα ἰδών, Ἀχιλῆϊ δ᾽ ὀρινθείη φίλον ἦτορ, [24.586] καί ἑ κατακτείνειε, Διὸς δ᾽ ἀλίτηται ἐφετμάς.","Then Achilles called forth the hand-maids and bade them wash and anoint him, bearing him to a place apart that Priam might not have sight of his son, lest in grief of heart he should not restrain his wrath, whenso he had sight of his son, and Achilles' own spirit be stirred to anger, and he slay him, and so sin against the behest of Zeus.",δμωή δέ ἐκκαλέω λούω κέλομαι ἀμφί τε ἀλείφω νόσφι ἀείρω ὡς μή Πρίαμος εἶδον υἱός μή ὁ μέν ἀχεύω καρδία χόλος οὐ ἐρύω παῖς εἶδον Ἀχιλλεύς δέ ὀρίνω φίλος ἦτορ καί ἕ κατακτείνω Ζεύς δέ ἀλιταίνω ἐφετμή,,,,,,,,,,,,,,,,,,,,,,,,,,
2282407,24.587-24.590,"[24.587] τὸν δ᾽ ἐπεὶ οὖν δμῳαὶ λοῦσαν καὶ χρῖσαν ἐλαίῳ, [24.588] ἀμφὶ δέ μιν φᾶρος καλὸν βάλον ἠδὲ χιτῶνα, [24.589] αὐτὸς τόν γ᾽ Ἀχιλεὺς λεχέων ἐπέθηκεν ἀείρας, [24.590] σὺν δ᾽ ἕταροι ἤειραν ἐϋξέστην ἐπ᾽ ἀπήνην.","So when the handmaids had washed the body and anointed it with oil, and had cast about it a fair cloak and a tunic, then Achilles himself lifted it and set it upon a bier, and his comrades with him lifted it upon the polished waggon.",ὁ δέ ἐπεί οὖν δμωή λούω καί χρίω ἔλαιον ἀμφί δέ μιν φᾶρος καλός βάλλω ἠδέ χιτών αὐτός ὁ γε Ἀχιλλεύς λέχος ἐπιτίθημι ἀείρω σύν δέ ἑταῖρος ἀείρω εὔξεστος ἐπί ἀπήνη,,,,,,,,,,,,,,,,,,,,,,,,,,
2282408,24.591,"[24.591] ᾤμωξέν τ᾽ ἄρ᾽ ἔπειτα, φίλον δ᾽ ὀνόμηνεν ἑταῖρον:","Then he uttered a groan, and called by name upon his dear comrade:",οἰμώζω τε ἄρα ἔπειτα φίλος δέ ὀνομαίνω ἑταῖρος,,,,,,,,,,,,,,,,,,,,,,,,,,
2282409,24.592-24.594,"[24.592] μή μοι Πάτροκλε σκυδμαινέμεν, αἴ κε πύθηαι [24.593] εἰν Ἄϊδός περ ἐὼν ὅτι Ἕκτορα δῖον ἔλυσα [24.594] πατρὶ φίλῳ, ἐπεὶ οὔ μοι ἀεικέα δῶκεν ἄποινα. [0]","Be not thou wroth with me, Patroclus, if thou hearest even in the house of Hades that I have given back goodly Hector to his dear father, seeing that not unseemly is the ransom he hath given me.",μή ἐγώ Πάτροκλος σκυδμαίνω εἰ ἄν πυνθάνομαι ἐν Ἀίδης πέρ εἰμί ὅτι2 Ἕκτωρ δῖος λύω πατήρ φίλος ἐπεί οὐ ἐγώ ἀεικής δίδωμι ἄποινα,,,,,,,,,,,,,,,,,,,,,,,,,,
2282410,24.595,[24.595] σοὶ δ᾽ αὖ ἐγὼ καὶ τῶνδ᾽ ἀποδάσσομαι ὅσσ᾽ ἐπέοικεν.,And unto thee shall I render even of this all that is thy due.,σύ δέ αὖ ἐγώ καί ὅδε ἀποδατέομαι ὅσος ἐπέοικε,,,,,,,,,,,,,,,,,,,,,,,,,,
2282411,24.596-24.598,"[24.596] ἦ ῥα, καὶ ἐς κλισίην πάλιν ἤϊε δῖος Ἀχιλλεύς, [24.597] ἕζετο δ᾽ ἐν κλισμῷ πολυδαιδάλῳ ἔνθεν ἀνέστη [24.598] τοίχου τοῦ ἑτέρου, ποτὶ δὲ Πρίαμον φάτο μῦθον:","So spake goodly Achilles, and went back within the hut and on the richly-wrought chair wherefrom he had risen sate him down by the opposite wall, and he spake unto Priam, saying:",ἠμί ἄρα καί εἰς κλισία πάλιν εἶμι δῖος Ἀχιλλεύς ἕζομαι δέ ἐν κλισμός πολυδαίδαλος ἔνθεν ἀνίστημι τοῖχος ὁ ἕτερος πρός δέ Πρίαμος φημί μῦθος,,,,,,,,,,,,,,,,,,,,,,,,,,
2282412,24.599-24.600,"[24.599] υἱὸς μὲν δή τοι λέλυται γέρον ὡς ἐκέλευες, [24.600] κεῖται δ᾽ ἐν λεχέεσσ᾽:","Thy son, old sire, is given back according to thy wish, and lieth upon a bier;",υἱός μέν δή σύ λύω γέρων ὡς κελεύω κεῖμαι δέ ἐν λέχος,,,,,,,,,,,,,,,,,,,,,,,,,,
2282413,24.600-24.601,[24.600] ἅμα δ᾽ ἠοῖ φαινομένηφιν [24.601] ὄψεαι αὐτὸς ἄγων:,"and at break of day thou shalt thyself behold him, as thou bearest him hence;",ἅμα δέ ἠώς φαίνω ὁράω αὐτός ἄγω,,,,,,,,,,,,,,,,,,,,,,,,,,
2282414,24.601,[24.601] νῦν δὲ μνησώμεθα δόρπου.,but for this present let us bethink us of supper.,νῦν δέ μιμνήσκω δόρπον,,,,,,,,,,,,,,,,,,,,,,,,,,
2282415,24.602-24.604,"[24.602] καὶ γάρ τ᾽ ἠΰκομος Νιόβη ἐμνήσατο σίτου, [24.603] τῇ περ δώδεκα παῖδες ἐνὶ μεγάροισιν ὄλοντο [24.604] ἓξ μὲν θυγατέρες, ἓξ δ᾽ υἱέες ἡβώοντες. [0]","For even the fair-haired Niobe bethought her of meat, albeit twelve children perished in her halls, six daughters and six lusty sons.",καί γάρ τε εὔκομος Νιόβη μιμνήσκω σῖτος ὁ πέρ δώδεκα παῖς ἐν μέγαρον ὄλλυμι ἕξ μέν θυγάτηρ ἕξ δέ υἱός ἡβάω,,,,,,,,,,,,,,,,,,,,,,,,,,
2282416,24.605-24.607,"[24.605] τοὺς μὲν Ἀπόλλων πέφνεν ἀπ᾽ ἀργυρέοιο βιοῖο [24.606] χωόμενος Νιόβῃ, τὰς δ᾽ Ἄρτεμις ἰοχέαιρα, [24.607] οὕνεκ᾽ ἄρα Λητοῖ ἰσάσκετο καλλιπαρῄῳ: [0]","The sons Apollo slew with shafts from his silver bow, being wroth against Niobe, and the daughters the archer Artemis, for that Niobe had matched her with fair-cheeked Leto,",ὁ μέν Ἀπόλλων θείνω ἀπό ἀργύρεος βιός χώομαι Νιόβη ὁ δέ Ἄρτεμις ἰοχέαιρα οὕνεκα ἄρα Λητώ ἰσάζω καλλιπάρηος,,,,,,,,,,,,,,,,,,,,,,,,,,
2282417,24.608,"[24.608] φῆ δοιὼ τεκέειν, ἣ δ᾽ αὐτὴ γείνατο πολλούς:","saying that the goddess had borne but twain, while herself was mother to many;",φημί δοιώ τίκτω ὁ δέ αὐτός γείνομαι πολύς,,,,,,,,,,,,,,,,,,,,,,,,,,
2282418,24.609,[24.609] τὼ δ᾽ ἄρα καὶ δοιώ περ ἐόντ᾽ ἀπὸ πάντας ὄλεσσαν.,"wherefore they, for all they were but twain, destroyed them all.",ὁ δέ ἄρα καί δοιώ πέρ εἰμί ἀπό πᾶς ὄλλυμι,,,,,,,,,,,,,,,,,,,,,,,,,,
